Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1663975701.360021,1,1663988961,0,GPS1_Frame,42.3372688293457,-71.09004211425781,13.899999618530273,327820.875,4689339.5,19,T
1663975702.3603554,2,1663988962,0,GPS1_Frame,42.3372688293457,-71.09004974365234,13.899999618530273,327820.71875,4689339.5,19,T
1663975703.360219,3,1663988963,0,GPS1_Frame,42.3372688293457,-71.09004974365234,13.899999618530273,327820.71875,4689339.5,19,T
1663975704.373601,4,1663988964,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.5,327820.46875,4689340.0,19,T
1663975705.3602593,5,1663988965,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.5,327820.46875,4689340.0,19,T
1663975706.3923917,6,1663988966,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.5,327820.46875,4689340.0,19,T
1663975707.3602147,7,1663988967,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.5,327820.46875,4689340.0,19,T
1663975708.392958,8,1663988968,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.5,327820.46875,4689340.0,19,T
1663975709.3922093,9,1663988969,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.5,327820.46875,4689340.0,19,T
1663975710.361776,10,1663988970,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.5,327820.46875,4689340.0,19,T
1663975711.3603537,11,1663988971,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.5,327820.46875,4689340.0,19,T
1663975712.391464,12,1663988972,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.5,327820.46875,4689340.0,19,T
1663975713.3914704,13,1663988973,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975714.3918886,14,1663988974,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975715.3921866,15,1663988975,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975716.3618417,16,1663988976,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975717.359975,17,1663988977,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975718.35989,18,1663988978,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975719.3617597,19,1663988979,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975720.3607132,20,1663988980,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975721.3927073,21,1663988981,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975722.3618407,22,1663988982,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975723.3934462,23,1663988983,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975724.3621228,24,1663988984,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975725.3610666,25,1663988985,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975726.3616467,26,1663988986,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975727.3614223,27,1663988987,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975728.376603,28,1663988988,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975729.3616698,29,1663988989,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975730.361585,30,1663988990,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975731.362173,31,1663988991,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975732.361382,32,1663988992,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975733.3617465,33,1663988993,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975734.3748798,34,1663988994,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975735.363126,35,1663988995,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975736.361828,36,1663988996,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975737.3589122,37,1663988997,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975738.3633096,38,1663988998,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975739.3661902,39,1663988999,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
1663975740.363665,40,1663988940,0,GPS1_Frame,42.33727264404297,-71.09004974365234,13.399999618530273,327820.46875,4689340.0,19,T
