Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1663977591.266204,15,1663988991,0,GPS1_Frame,42.33705520629883,-71.09020233154297,10.800000190734863,327807.09375,4689316.0,19,T
1663977592.2659993,16,1663988992,0,GPS1_Frame,42.33705520629883,-71.09021759033203,11.100000381469727,327805.875,4689316.0,19,T
1663977593.2666354,17,1663988993,0,GPS1_Frame,42.337059020996094,-71.0902328491211,11.199999809265137,327804.78125,4689316.5,19,T
1663977594.266634,18,1663988994,0,GPS1_Frame,42.33706283569336,-71.09024810791016,11.399999618530273,327803.8125,4689317.0,19,T
1663977595.2658207,19,1663988995,0,GPS1_Frame,42.33706283569336,-71.09025573730469,11.300000190734863,327803.0,4689317.0,19,T
1663977596.2657475,20,1663988996,0,GPS1_Frame,42.33706283569336,-71.09026336669922,11.199999809265137,327802.3125,4689317.0,19,T
1663977597.266655,21,1663988997,0,GPS1_Frame,42.337066650390625,-71.09027099609375,11.300000190734863,327801.5,4689317.5,19,T
1663977598.266557,22,1663988998,0,GPS1_Frame,42.337066650390625,-71.09028625488281,11.600000381469727,327800.53125,4689317.5,19,T
1663977599.2655976,23,1663988999,0,GPS1_Frame,42.337066650390625,-71.09029388427734,11.699999809265137,327799.5625,4689317.5,19,T
1663977600.264781,24,1663906140,0,GPS1_Frame,42.337066650390625,-71.0903091430664,11.699999809265137,327798.625,4689317.5,19,T
1663977601.28114,25,1663906141,0,GPS1_Frame,42.337066650390625,-71.09031677246094,11.699999809265137,327797.65625,4689317.5,19,T
1663977602.2672627,26,1663906142,0,GPS1_Frame,42.337066650390625,-71.09033203125,11.899999618530273,327796.6875,4689317.5,19,T
1663977603.2663493,27,1663906143,0,GPS1_Frame,42.33707046508789,-71.09033966064453,11.800000190734863,327795.75,4689318.0,19,T
1663977604.2661722,28,1663906144,0,GPS1_Frame,42.33707046508789,-71.0903549194336,11.699999809265137,327794.90625,4689318.0,19,T
1663977605.2659044,29,1663906145,0,GPS1_Frame,42.33707046508789,-71.09036254882812,11.5,327793.96875,4689318.0,19,T
